item,AD,BB,JA
trash_bags,5.163333333333333,5.163333333333333,5.163333333333333
popcorn_box,0.0,4.995,4.995
chicken_melts,2.763333333333333,2.763333333333333,2.763333333333333
yellow_curry,6.495,0.0,6.495
meatballs,0.0,13.89,0.0
wine_rioja,7.99,0.0,0.0
wine_lohr,12.25,0.0,0.0
whiskey,18.99,0.0,0.0
eggs,1.795,0.0,1.795
face_coverings,6.99,0.0,0.0
coconut_thai_chicken,0.0,0.0,12.99
chicken_fried_rice,6.295,0.0,6.295
tikka_masala,0.0,0.0,10.49
chicken_skewers,0.0,0.0,8.99
squirrel_beer,12.19,0.0,0.0
zero_beer,0.0,0.0,9.19
tenderloin,7.41,7.41,7.41
korean_bbq,0.0,19.89,0.0
captain_morgan,0.0,10.945,10.945
vodka,18.99,0.0,0.0
coffee,14.995,0.0,14.995
tequila,22.99,0.0,0.0
total,145.30666666666664,65.05666666666667,102.51666666666668
